orderID, clientID, startCity, destinationCity, price, vehicleID, chauffeurID, date, description
4,1,Avignon,Toulon,800,2,10,22/06/2024,N/A
0,1,Paris,Monaco,0,4,11,16/08/2024,F458 Italia
0,1,Paris,Monaco,162,1,14,20/08/2025,N/A
1,2,Paris,Bordeaux,2300,1,12,20/06/2024,Transport d'animaux sauvages
3,2,La Rochelle,Pau,1500,5,13,20/06/2024,Transport de Fonds
2,5,Rouen,Lyon,1300,5,12,21/06/2024,N/A
5,5,Monaco,Lyon,5600,2,13,21/06/2024,N/A
0,6,Avignon,Paris,0,2,12,16/08/2024,N/A
0,6,Paris,Rouen,0,4,13,16/08/2024,N/A
0,6,Monaco,Rouen,0,3,14,16/08/2024,Ouais
0,6,Monaco,Toulon,0,5,10,16/08/2024,MT
0,6,Paris,Toulouse,120,1,12,17/08/2024,
